Things probed: 

Dummy Clamp Prob Points on Beam
Dummy Clamp Prob Points on Storage
Dummy Clamp Storage Pad
Dummy Clamp Beam Holes and srfs


Time	Tip Location
12:32:29	17797.619;9296.035;641.161
12:32:30	17797.008;9293.115;641.115
12:32:30	17797.008;9293.115;641.115
12:32:31	17797.023;9293.136;641.117
12:32:31	17797.023;9293.136;641.117
12:32:31	17797.023;9293.136;641.117
12:32:31	17797.023;9293.136;641.117
12:32:31	17796.939;9293.038;641.044
12:32:46	17788.902;9286.920;641.122
12:32:46	17788.863;9286.928;641.103
12:32:46	17788.863;9286.928;641.103
12:32:46	17788.841;9286.940;641.092
12:32:47	17788.824;9286.938;641.086
12:33:11	17856.420;9309.988;641.025
12:33:11	17856.402;9310.009;641.008
12:33:11	17856.402;9310.009;641.008
12:33:15	17866.173;9280.645;640.865
12:33:16	17866.801;9279.654;640.858
12:33:16	17866.801;9279.654;640.858
12:33:16	17866.846;9279.612;640.857
12:33:18	17865.217;9284.338;640.847
12:33:19	17865.217;9284.338;640.847
12:33:52	17857.276;9281.015;609.403
12:34:06	17827.921;9281.194;609.665
12:34:06	17827.908;9281.198;609.649
12:34:07	17827.922;9281.222;609.643
12:34:07	17827.922;9281.222;609.643
12:34:09	17820.227;9281.252;609.622
12:34:09	17820.258;9281.249;609.625
12:34:10	17820.258;9281.249;609.625
12:34:14	17806.958;9281.193;609.772
12:34:22	17799.101;9281.380;609.369
12:34:22	17799.101;9281.380;609.369
12:34:22	17799.101;9281.380;609.369
12:34:22	17799.101;9281.380;609.369
12:34:22	17799.105;9281.354;609.410
12:34:23	17799.100;9281.236;609.556
12:34:23	17799.124;9281.244;609.560
12:34:25	17794.275;9281.224;609.701
12:34:28	17795.182;9281.413;623.638
12:34:28	17795.182;9281.413;623.638
12:34:28	17795.159;9281.340;623.666
12:34:38	17808.312;9280.841;623.804
12:34:38	17808.312;9280.841;623.804
12:34:39	17809.920;9280.846;623.777
12:34:45	17821.965;9280.791;623.788
12:34:45	17821.965;9280.791;623.788
12:34:45	17821.913;9280.787;623.788
12:34:45	17821.913;9280.787;623.788
12:34:46	17821.868;9280.785;623.804
12:34:48	17835.769;9281.200;623.423
12:34:48	17835.769;9281.200;623.423
12:35:17	17849.834;9280.835;623.609
12:35:17	17849.834;9280.835;623.609
12:35:18	17849.879;9280.845;623.670
12:35:18	17849.879;9280.845;623.670
12:35:25	17855.897;9280.643;623.705
12:35:25	17855.918;9280.651;623.704
12:35:26	17855.954;9280.680;623.706
